auth	aal_level	aal1
auth	aal_level	aal2
auth	aal_level	aal3
public	app_role	user
public	app_role	super_admin
public	app_role	content_editor
public	app_role	org_admin
public	app_role	manager
public	app_role	dpo
public	assessment_route	green
public	assessment_route	yellow
public	assessment_route	orange
public	assessment_route	red
public	assessment_status	active
public	assessment_status	paused
public	assessment_status	stopped
public	assessment_status	superseded
public	assessment_status	pending_review
public	assessment_status	pending_dpo
auth	code_challenge_method	s256
auth	code_challenge_method	plain
public	dpo_notification_status	pending
public	dpo_notification_status	seen
public	dpo_notification_status	actioned
public	dpo_notification_status	dismissed
public	dpo_notification_type	orange_route_new
public	dpo_notification_type	red_route_blocked
public	dpo_notification_type	incident_high
public	dpo_notification_type	reexam_required
public	dpo_notification_type	tool_discovery_pending
auth	factor_status	unverified
auth	factor_status	verified
auth	factor_type	totp
auth	factor_type	webauthn
auth	factor_type	phone
public	incident_dpo_action	auto_handled
public	incident_dpo_action	reviewed
public	incident_dpo_action	intervention_planned
public	incident_dpo_action	resolved
public	incident_severity	low
public	incident_severity	medium
public	incident_severity	high
public	learning_content_type	course
public	learning_content_type	module
public	learning_content_type	assessment
public	learning_content_type	document
public	learning_content_type	microlearning
public	learning_difficulty_level	basic
public	learning_difficulty_level	intermediate
public	learning_difficulty_level	advanced
public	learning_status	draft
public	learning_status	published
public	learning_status	deprecated
auth	oauth_authorization_status	pending
auth	oauth_authorization_status	approved
auth	oauth_authorization_status	denied
auth	oauth_authorization_status	expired
auth	oauth_client_type	public
auth	oauth_client_type	confidential
auth	oauth_registration_type	dynamic
auth	oauth_registration_type	manual
auth	oauth_response_type	code
auth	one_time_token_type	confirmation_token
auth	one_time_token_type	reauthentication_token
auth	one_time_token_type	recovery_token
auth	one_time_token_type	email_change_token_new
auth	one_time_token_type	email_change_token_current
auth	one_time_token_type	phone_change_token
public	org_notification_severity	info
public	org_notification_severity	warning
public	org_notification_severity	critical
public	org_notification_source	scan_engine
public	org_notification_source	model_library
public	org_notification_source	system
public	question_type	multiple_choice
public	question_type	multiple_select
public	question_type	true_false
public	question_type	fill_in
public	question_type	essay
public	routing_method	deterministic
public	routing_method	claude_assisted
